"Summary","Issue Type","Priority","Story Points","Description","Acceptance Criteria","Epic Name","Labels","Components","Fix Version/s"
"UI: Create Session Schedule Screen","Task","High","3","Build Create Session form. Dropdowns for Class, Teacher, Room. Date-time pickers for Start/End. On 409 redirect to conflict resolution screen.","Given valid non-conflicting inputs; When Save clicked; Then session created. Given conflict; Then conflict alert screen shown.","Schedule Management","UC-04,frontend","Frontend","v1.0"
"UC-05 | Resolve Scheduling Conflicts","Story","High","5","As an Academic Admin, I want to see the details of a scheduling conflict (double-booked room or teacher) and choose an alternative resource so that the session can be saved without clashes.","Given a 409 conflict response;
When Admin views the Conflict Alert Screen and selects an alternative Room or Teacher;
And clicks Save;
Then system validates again and if clear: Session is saved successfully.","Schedule Management","UC-05,admin","Backend,Frontend","v1.0"
"API: GET /api/sessions/available-resources — list conflict-free alternatives","Task","High","3","Return available Teachers and Rooms for a given time slot, excluding already-booked ones.","Given a time range; When called; Then only free Teachers and Rooms returned.","Schedule Management","UC-05,backend","Backend","v1.0"
"UI: Resolve Conflict Alert Screen","Task","High","3","Display conflicting resource name (readonly). Show dropdown of available alternatives. On re-save, call POST /api/sessions again.","Given conflict screen is shown; When Admin selects an alternative and saves; Then session created if no new conflict.","Schedule Management","UC-05,frontend","Frontend","v1.0"
"UC-06 | Review Package Renewal Alerts","Story","High","5","As an Academic Admin, I want to view a list of students whose package sessions are running low (≤ 2 weeks) so that I can contact parents and encourage renewal.","Given the System Timer has generated renewal alerts;
When Admin opens the Renewal Alerts List;
Then all flagged students (remaining sessions ≤ threshold) are listed with Parent Phone.
When Admin marks an alert as Resolved; Then its status changes to Resolved.","Retention Management","UC-06,admin","Backend,Frontend","v1.0"
"API: GET /api/alerts — list active renewal alerts","Task","Medium","2","Return all alert_notifications with status=Pending, type=Renewal, ordered by created_at.","Given Admin JWT; When called; Then list of pending renewal alerts returned.","Retention Management","UC-06,backend","Backend","v1.0"
"API: PATCH /api/alerts/{id} — mark alert as resolved","Task","Medium","1","Update alert_notification status to Resolved.","Given valid alert_id; When PATCH called; Then status updated to Resolved.","Retention Management","UC-06,backend","Backend","v1.0"
"UI: Renewal Alerts List Screen","Task","Medium","3","Dashboard widget + full list view of renewal alerts. Show Student Name, Remaining Sessions, Parent Contact, Action Status. Button to mark Resolved.","Given alerts exist; When Admin opens list; Then all pending alerts displayed with action buttons.","Retention Management","UC-06,frontend","Frontend","v1.0"
"UC-07 | View Personalized Timetables","Story","High","5","As a Teacher, I want to view my daily and weekly teaching schedule (Room, Time, Class) so that I can prepare for each session.","Given a Teacher is logged in;
When the Teacher opens My Timetable;
Then sessions assigned to that Teacher_ID are displayed chronologically.
And Teacher can switch between Daily and Weekly views.
And clicking a session card shows Class Session Details.","Academic Operations","UC-07,teacher","Backend,Frontend","v1.0"
"API: GET /api/teachers/me/sessions — fetch teacher sessions","Task","High","2","Return sessions for the authenticated Teacher filtered by date range (query params: start_date, end_date).","Given Teacher JWT; When called with date range; Then only that teacher's sessions returned.","Academic Operations","UC-07,backend","Backend","v1.0"
"UI: Teacher Timetable Screen","Task","High","3","Build timetable view with Daily/Weekly toggle. Render session cards (Room, Time, Class name). Cards link to Class Session Details.","Given Teacher is on My Timetable; When Daily/Weekly toggle selected; Then correct sessions displayed.","Academic Operations","UC-07,frontend","Frontend","v1.0"
"UC-08 | Record Class Attendance","Story","High","8","As a Teacher, I want to mark each enrolled student as Present, Absent, or Late after a session and submit attendance so that records are saved and parents are notified automatically.","Given a completed session;
When Teacher opens Attendance tab and marks all students (Present/Absent/Late) and clicks Submit;
Then Attendance records are saved (deducting 1 session per BR-04).
And system triggers Email Gateway dispatch (UC-11) to notify parents.","Academic Operations","UC-08,teacher","Backend,Frontend","v1.0"
"API: POST /api/sessions/{id}/attendances — submit attendance records","Task","High","5","Accept attendance array (student_id, status, note). Persist records. Deduct 1 session from student_package per BR-04. Enqueue email notification payload.","Given Teacher JWT and valid session_id; When POST called; Then attendance saved, sessions decremented, email queued.","Academic Operations","UC-08,backend","Backend","v1.0"
"UI: Record Attendance Screen","Task","High","3","List enrolled students with radio buttons (Present/Absent/Late) and optional Note field. Submit button calls POST attendance API.","Given Teacher opens attendance; When all statuses set and Submit clicked; Then confirmation shown.","Academic Operations","UC-08,frontend","Frontend","v1.0"
"UC-09 | Submit Academic Performance Feedback","Story","High","5","As a Teacher, I want to submit a performance score and feedback comment for each student within 12 hours of session completion (SLA) so that evaluations are timely and recorded.","Given a completed session within SLA window;
When Teacher enters Score (1–10) and Feedback Context and clicks Submit;
Then Feedback is saved against the Session and Student.
If SLA breached (> 12 hours): submission flagged as Late and violation logged (MSG-02).","Academic Quality Assurance","UC-09,teacher","Backend,Frontend","v1.0"
"API: POST /api/sessions/{id}/feedbacks — submit feedback","Task","High","3","Accept score (1–10), feedback_context. Validate SLA: if created_at > session_end + 12h, mark as late=true and log violation. Persist feedback.","Given within SLA; When POST called; Then feedback saved, late=false. Given past SLA; When POST called; Then feedback saved, late=true, violation logged.","Academic Quality Assurance","UC-09,backend","Backend","v1.0"
"UI: Submit Feedback Screen","Task","High","3","Fields: Score (1–10 slider/input), Feedback Context (textarea max 1000 chars), SLA Timer (live countdown). Submit button.","Given feedback screen open within SLA; When submitted; Then success. Given SLA expired; When submitted; Then MSG-02 warning shown.","Academic Quality Assurance","UC-09,frontend","Frontend","v1.0"
"UC-10 | Execute Daily Depletion Scans","Story","High","8","As the System, I want to run a nightly cron job at 00:00 that scans all active student packages and creates renewal alert records for those with ≤ 2 weeks of sessions remaining so that Admins are notified proactively.","Given the cron job triggers at 00:00;
When scanning active student_packages;
Then for each package with remaining_sessions ≤ threshold: if no existing Pending alert exists, insert a new alert_notification (type=Renewal).
And the job completes scanning 5,000 records within < 3 minutes (NFR-Performance).","System Automation","UC-10,automation","Backend","v1.0"
"TASK: Implement nightly depletion scan cron worker","Task","High","5","Write a scheduled background worker (e.g., pg_cron or Node cron). Query active student_packages. Compare remaining_sessions to threshold. Insert missing renewal alert_notifications.","Given midnight trigger; When worker runs; Then alert_notifications created for qualifying packages without duplicating existing alerts.","System Automation","UC-10,backend","Backend","v1.0"
"TASK: Configure cron schedule for depletion scan (00:00 daily)","Task","Medium","2","Set up infrastructure-level cron trigger (Supabase pg_cron or external scheduler) to invoke the depletion scan function at midnight.","Given production environment; When clock hits 00:00; Then worker is invoked automatically.","System Automation","UC-10,devops","DevOps","v1.0"
"UC-11 | Dispatch Zero-Touch Parent Notifications","Story","High","8","As the System, I want to automatically send email notifications to parents via an Email Gateway (Attendance outcomes and Package renewal prompts) so that parents are informed without manual Admin effort.","Given a payload exists in the notification queue;
When the Email Gateway picks it up;
Then an HTML email is dispatched over SMTP/API (256-bit encryption).
And alert_notification status is updated to Sent.
If SMTP fails: system retries up to 3 times exponentially before logging failure.","System Automation","UC-11,automation","Backend","v1.0"
"TASK: Implement email notification queue processor","Task","High","5","Write queue consumer that picks pending alert_notifications, formats HTML template (Attendance / Renewal type), calls SMTP/Email API. Update status to Sent. Implement exponential retry (max 3) on failure.","Given a pending notification; When processor runs; Then email sent and status=Sent. On SMTP fail; Then retry up to 3x then status=Failed.","System Automation","UC-11,backend","Backend","v1.0"
"TASK: Integrate Email Gateway (SendGrid/Mailgun)","Task","High","3","Configure SMTP / API credentials for the chosen Email Gateway provider. Create email HTML templates (Attendance, Renewal). Test deliverability.","Given credentials configured; When test email triggered; Then email received in target inbox.","System Automation","UC-11,backend,devops","Backend,DevOps","v1.0"
"NFR: Implement Role-Based Access Control (RBAC)","Story","High","8","As the System, I want strict RBAC enforced at API and UI layers (Admin vs Teacher roles) so that cross-domain data leaks are prevented (BR-05).","Given an Admin JWT; When Teacher-only API called; Then 403 Forbidden.
Given a Teacher JWT; When Financial API called; Then 403 Forbidden.","Non-Functional Requirements","security,NFR","Backend,Frontend","v1.0"
"NFR: Enforce HTTPS and Encrypted Transmission","Task","High","2","Ensure all API endpoints and the frontend web app are served exclusively over HTTPS (TLS). No HTTP fallback.","Given production deployment; When any HTTP request made; Then redirect to HTTPS or connection refused.","Non-Functional Requirements","security,NFR","DevOps","v1.0"
"NFR: Teacher session token expiry after 2 hours inactivity","Task","High","2","Configure JWT or Supabase session TTL to expire Teacher tokens after 2 hours of inactivity.","Given Teacher token issued; When 2h of inactivity; Then next API call returns 401.","Non-Functional Requirements","security,NFR","Backend","v1.0"
"NFR: Responsive UI — support minimum 360px viewport","Task","Medium","3","Ensure all frontend screens render correctly on viewports from 360px width upward (mobile, tablet, desktop).","Given the app is opened on a 360px device; When any core screen rendered; Then no horizontal scroll, all content usable.","Non-Functional Requirements","usability,NFR","Frontend","v1.0"
"NFR: UI Rendering Response < 1.5s on stable connection","Task","Medium","2","Ensure data retrieval actions (timetable load, student list) complete rendering within 1.5 seconds on a stable network.","Given a standard data load; When measured in browser DevTools; Then DOMContentLoaded + data render ≤ 1.5s.","Non-Functional Requirements","performance,NFR","Backend,Frontend","v1.0"
"NFR: Primary workflow completion in ≤ 3 clicks from Dashboard","Task","Medium","2","Audit navigation paths for recording attendance and renewing a package. Ensure each reachable in ≤ 3 clicks.","Given Admin or Teacher is on Dashboard; When navigating to attendance/payment; Then reached in 3 or fewer clicks.","Non-Functional Requirements","usability,NFR","Frontend","v1.0"
"NFR: Inline form validation (client-side)","Task","Medium","2","All system forms must include client-side inline validation displaying field-level error messages before API submission.","Given an invalid form field; When user attempts to submit; Then inline error shown without API call.","Non-Functional Requirements","usability,NFR","Frontend","v1.0"
"NFR: 99.9% Core Uptime SLA","Task","Medium","2","Configure hosting (Supabase + frontend deployment) to target 99.9% uptime. Set up uptime monitoring alerts.","Given production deployment; When uptime monitoring runs; Then downtime alerts sent when service unavailable.","Non-Functional Requirements","reliability,NFR","DevOps","v1.0"
"NFR: Email Gateway retry logic — max 3 retries on failure","Task","Medium","2","Implement exponential back-off retry (max 3 attempts) for failed SMTP/Email API calls before marking notification as Failed.","Given SMTP call fails; When retry logic runs; Then attempts up to 3 times with increasing delay before logging failure.","Non-Functional Requirements","reliability,NFR","Backend","v1.0"
"SETUP: Provision Supabase project (PostgreSQL DB + Auth + Storage)","Task","High","3","Create Supabase project. Configure PostgreSQL schema (all 14 tables per SDS 1.3). Enable Row Level Security. Configure Auth for Admin and Teacher roles.","Given Supabase project created; When schema migration runs; Then all 14 tables present with correct constraints.","Infrastructure & DevOps","devops,setup","DevOps","v1.0"
"SETUP: Define and run DB migration scripts (14 tables)","Task","High","3","Write SQL migration files for: users, activity_logs, classes, class_students, rooms, sessions, attendances, feedbacks, students, parents, packages, student_packages, payments, alert_notifications.","Given migration scripts applied; When DB schema checked; Then all tables exist with correct columns and FK constraints.","Infrastructure & DevOps","devops,database","Backend","v1.0"
"SETUP: Configure CI/CD pipeline (GitHub Actions)","Task","Medium","3","Set up GitHub Actions workflows for: lint + test on PR, build and deploy on merge to main.","Given PR opened; When CI runs; Then lint and test pass. Given merge to main; When CD runs; Then app deployed.","Infrastructure & DevOps","devops,cicd","DevOps","v1.0"
"SETUP: Deploy frontend to hosting (Vercel/Netlify)","Task","Medium","2","Connect frontend repo to Vercel/Netlify. Configure environment variables (SUPABASE_URL, SUPABASE_ANON_KEY). Set up preview deployments for PRs.","Given frontend deployed; When URL accessed; Then app loads correctly with valid API connectivity.","Infrastructure & DevOps","devops,frontend","DevOps","v1.0"
"SETUP: Environment configuration and secrets management","Task","High","2","Define .env structure. Store secrets (DB credentials, Email Gateway API keys) in CI/CD secrets and Supabase vault. Never commit secrets to repo.","Given secrets configured; When app starts; Then connects to DB and Email Gateway successfully without plaintext secrets in code.","Infrastructure & DevOps","devops,security","DevOps","v1.0"
"TECH DEBT: Add integration test suite for API endpoints","Task","Medium","5","Write integration tests covering happy-path and error scenarios for all API endpoints identified in the SRS use cases.","Given test suite runs; When all UC endpoints exercised; Then all tests pass.","Infrastructure & DevOps","testing,tech-debt","Backend","v1.0"
"TECH DEBT: Add end-to-end UI smoke tests","Task","Low","3","Implement Playwright or Cypress E2E smoke tests for primary user journeys: Add Student, Record Payment, Create Session, Submit Attendance, Submit Feedback.","Given E2E suite runs; When smoke tests executed; Then all journeys complete without error.","Infrastructure & DevOps","testing,tech-debt","Frontend","v1.0"
"Story: User Login & Logout (Authentication)","Story","High","5","As a system user (Admin or Teacher), I want to securely log in with my email and password and log out of the system so that my session is authenticated and protected.","Given valid credentials (email + password);
When POST /api/v1/auth/login is called;
Then 200 response with JWT access token and user info (role, fullName, email).
Given any API called without a valid JWT;
Then 401 Unauthorized returned.
Given user clicks Logout;
Then token is invalidated and user redirected to Login screen.","Infrastructure & DevOps","auth,security","Backend,Frontend","v1.0"
"API: POST /api/v1/auth/login — authenticate user & issue JWT","Task","High","3","Implement POST /api/v1/auth/login. Validates email/password against users table. Returns JWT with payload: user_id, role, email, fullName. Implement Supabase Auth or custom JWT signing.","Given valid email + password; When POST called; Then 200 with accessToken. Given wrong password; When called; Then 401. Given inactive user; When called; Then 403.","Infrastructure & DevOps","auth,backend","Backend","v1.0"
"UI: Login Screen — Admin & Teacher portal entry point","Task","High","3","Build the Login screen as the entry point for both Admin and Teacher users. Fields: Email, Password. On success: redirect to respective Dashboard based on role. Show error message on failed login.","Given the login page; When correct credentials entered; Then redirect to Admin Dashboard (role=admin) or Teacher Dashboard (role=teacher). When wrong credentials; Then inline error shown.","Infrastructure & DevOps","auth,frontend","Frontend","v1.0"
"API: POST /api/v1/auth/logout — revoke session","Task","Medium","2","Implement logout endpoint. Invalidate the current JWT/session token server-side. Clear client-side token storage.","Given a valid JWT; When POST /logout called; Then 200 and token no longer accepted on subsequent calls.","Infrastructure & DevOps","auth,backend","Backend","v1.0"
"SETUP: Seed master data scripts (packages, rooms, initial admin user)","Task","High","2","Write seed SQL/scripts to populate: packages catalogue (at least 3 packages), rooms list (at least 5 rooms), and 1 initial Admin user account for first login.","Given seed scripts run on fresh DB; When data queried; Then packages, rooms, and admin user exist with correct values.","Infrastructure & DevOps","devops,database,setup","Backend","v1.0"
"Story: Manage Teacher Accounts (CRUD)","Story","High","5","As an Academic Admin, I want to create, view, update, and deactivate Teacher accounts so that only authorised Teachers can log in and be assigned to sessions.","Given Admin is authenticated;
When Admin creates a Teacher with Full Name, Email, Password;
Then Teacher account is created with role=teacher.
When Admin deactivates a Teacher; Then teacher can no longer log in.","Student Management","master-data,admin","Backend,Frontend","v1.0"
"API: CRUD /api/v1/teachers — manage teacher accounts","Task","High","3","Implement: GET /api/v1/teachers (list), POST /api/v1/teachers (create), PUT /api/v1/teachers/{id} (update), PATCH /api/v1/teachers/{id}/status (activate/deactivate). All Admin-only (RBAC).","Given Admin JWT; When GET called; Then list of teachers returned. When POST with valid payload; Then teacher created. When status PATCH; Then active/inactive updated.","Student Management","master-data,backend","Backend","v1.0"
"UI: Teacher Account Management Screen","Task","High","3","Build Teacher list screen with Add Teacher button, search/filter, and per-row Activate/Deactivate toggle. Add Teacher form: Full Name, Email, Password.","Given Admin on Teacher list; When Add clicked; Then form modal opens. When saved; Then teacher appears in list.","Student Management","master-data,frontend","Frontend","v1.0"
"Story: Manage Class Catalogue (CRUD)","Story","High","5","As an Academic Admin, I want to create, view, and update class groups so that students can be enrolled into classes and sessions can be assigned against them.","Given Admin creates a Class with Class Name and Level;
Then the class is saved and available for Session scheduling (UC-04) and Student enrollment (UC-01).","Schedule Management","master-data,admin","Backend,Frontend","v1.0"
"API: CRUD /api/v1/classes — manage class catalogue","Task","High","2","Implement: GET /api/v1/classes (list), POST /api/v1/classes (create), PUT /api/v1/classes/{id} (update). Admin-only.","Given Admin JWT; When GET called; Then all classes returned. When POST with name; Then class created.","Schedule Management","master-data,backend","Backend","v1.0"
"UI: Class Catalogue Management Screen","Task","High","2","Build Class list with Add Class form. Minimum fields: Class Name, Level/Grade. Class list used as dropdown in Create Session screen (UC-04).","Given Admin on Class list; When Add clicked and saved; Then class appears in list and in UC-04 dropdown.","Schedule Management","master-data,frontend","Frontend","v1.0"
"Story: Manage Room Catalogue (CRUD)","Story","High","3","As an Academic Admin, I want to create and manage physical classroom rooms so that they can be assigned to scheduled sessions without conflicts.","Given Admin creates a Room with Room Name and Capacity;
Then the room is available for selection in Create Session (UC-04).","Schedule Management","master-data,admin","Backend,Frontend","v1.0"
"API: CRUD /api/v1/rooms — manage room catalogue","Task","High","2","Implement: GET /api/v1/rooms (list), POST /api/v1/rooms (create), PUT /api/v1/rooms/{id} (update). Admin-only.","Given Admin JWT; When GET called; Then all rooms returned. When POST; Then room created and available for scheduling.","Schedule Management","master-data,backend","Backend","v1.0"
"UI: Room Catalogue Management Screen","Task","High","2","Build Room list with Add Room form. Fields: Room Name, Capacity. Room list used as dropdown in Create Session (UC-04).","Given Admin on Room list; When Add clicked and saved; Then room appears in list and in UC-04 dropdown.","Schedule Management","master-data,frontend","Frontend","v1.0"
"Story: Manage Study Package Catalogue (CRUD)","Story","High","5","As an Academic Admin, I want to define the catalogue of study packages (session count, duration, price) so that packages can be assigned to students upon enrollment.","Given Admin creates a Package with Name, Session Count, Duration (weeks), Price;
Then it appears in the package dropdown when onboarding a student (UC-01) and recording payments (UC-03).","Financial Administration","master-data,admin","Backend,Frontend","v1.0"
"API: CRUD /api/v1/packages — manage package catalogue","Task","High","2","Implement: GET /api/v1/packages (list), POST /api/v1/packages (create), PUT /api/v1/packages/{id} (update). Admin-only.","Given Admin JWT; When GET called; Then all packages returned. When POST; Then package created and available for student assignment.","Financial Administration","master-data,backend","Backend","v1.0"
"UI: Study Package Catalogue Screen","Task","High","3","Build Package list with Add Package form. Fields: Package Name, Session Count, Duration, Price (VND). Packages are used in UC-01 (onboarding) and UC-03 (payment).","Given Admin on Package list; When Add clicked and saved; Then package appears in list and in enrollment dropdowns.","Financial Administration","master-data,frontend","Frontend","v1.0"
"UI: Admin Dashboard Screen — overview & navigation hub","Task","High","5","Build the Admin Dashboard as the main entry point after login. Widgets: Active Students count, Pending Renewal Alerts count, Today's Sessions count, Recent Payments. Quick navigation to all modules.","Given Admin logs in; When Dashboard loads; Then summary widgets display current counts. When widget clicked; Then redirects to respective module list.","Retention Management","admin,frontend","Frontend","v1.0"
"UI: Teacher Dashboard / Home Screen","Task","High","3","Build the Teacher home screen after login. Show today's session schedule as the primary content. Quick links to Timetable and Attendance recording.","Given Teacher logs in; When Dashboard loads; Then today's sessions shown. When session card clicked; Then Class Session Detail opens.","Academic Operations","teacher,frontend","Frontend","v1.0"
"API: GET /api/v1/student-profiles — list & search students","Task","High","2","Implement GET /api/v1/student-profiles with query params: search (name), status (Active/Inactive), page, limit. Returns paginated list of student profiles.","Given Admin JWT; When GET with no params; Then all students returned paginated. When search param set; Then filtered results returned.","Student Management","UC-02,backend","Backend","v1.0"
"UI: Student List / Search Screen","Task","High","3","Build Student List screen. Show table: Name, Status, Package, Remaining Sessions. Search bar by name. Status filter (Active/Inactive). Row click navigates to Student Profile Detail (UC-02).","Given Admin on Student List; When page loads; Then paginated student list shown. When search typed; Then filtered in real-time. When row clicked; Then Student Detail screen opens.","Student Management","UC-02,frontend","Frontend","v1.0"
"API: GET /api/v1/tuition-payments — list payment history","Task","Medium","2","Implement GET /api/v1/tuition-payments with optional filter: studentId, dateFrom, dateTo. Returns list of payment records with amount, method, date, student name.","Given Admin JWT; When GET called; Then paginated list returned. When studentId filter applied; Then only that student's payments shown.","Financial Administration","UC-03,backend","Backend","v1.0"
"UI: Payment History Screen","Task","Medium","3","Build Payment History table screen accessible from Admin Dashboard or Student Detail. Columns: Student Name, Amount (VND), Payment Method, Date. Export to CSV optional.","Given Admin opens Payment History; When loaded; Then all transactions listed newest first. When filter by student; Then filtered.","Financial Administration","UC-03,frontend","Frontend","v1.0"
"API: GET /api/v1/teaching-schedules — list all sessions (Admin view)","Task","Medium","2","Implement GET /api/v1/teaching-schedules with filters: classId, teacherId, dateFrom, dateTo. Returns full session list for Admin master timetable view.","Given Admin JWT; When GET called; Then all sessions returned. When date range filter applied; Then filtered sessions returned.","Schedule Management","UC-04,backend","Backend","v1.0"
"UI: Master Schedule / Session List Screen (Admin)","Task","Medium","3","Build Admin-facing master timetable view. Calendar or list view of all sessions with Class, Teacher, Room, Time. Filter by date range, class, teacher. Row click opens Session Detail with Edit/Delete options.","Given Admin on Master Schedule; When loaded; Then all sessions visible in grid/list. When filter applied; Then scoped view shown.","Schedule Management","UC-04,frontend","Frontend","v1.0"
"API: DELETE /api/v1/teaching-schedules/{id} — cancel/delete session","Task","Medium","2","Implement soft-delete or status update for sessions (status: Cancelled). Admin-only. Must validate no attendance records have been submitted for this session.","Given Admin JWT and valid session_id with no attendance; When DELETE called; Then session marked Cancelled. Given session has attendance; When DELETE called; Then 409 with explanation.","Schedule Management","UC-04,backend","Backend","v1.0"
"API: GET /api/v1/academic-feedback — list feedback (Admin view)","Task","Medium","2","Implement GET /api/v1/academic-feedback with filters: sessionId, studentId, isLate, dateFrom, dateTo. Returns all feedback records including SLA violation flags.","Given Admin JWT; When GET called; Then all feedback records returned. When isLate=true filter; Then only SLA-breached submissions shown.","Academic Quality Assurance","UC-09,backend","Backend","v1.0"
"UI: Feedback Management Screen (Admin)","Task","Medium","3","Build Admin-facing Feedback List screen. Table: Teacher, Class, Student, Score, Date Submitted, SLA Status (On-time / Late). Filter by SLA status to audit violations.","Given Admin opens Feedback Management; When loaded; Then all submitted feedback listed. When SLA filter = Late; Then only MSG-02 flagged items shown.","Academic Quality Assurance","UC-09,frontend","Frontend","v1.0"
"API: GET /api/v1/class-attendances?sessionId={id} — view attendance records","Task","Medium","2","Implement GET /api/v1/class-attendances with sessionId query param. Returns list of attendance records (student, status, note) for a given session.","Given Teacher or Admin JWT; When GET with valid sessionId; Then all attendance records for that session returned.","Academic Operations","UC-08,backend","Backend","v1.0"
"UI: Class Session Detail / Attendance History Screen","Task","Medium","3","Extend Class Session Detail to show submitted attendance records in a read-only table. Accessible from Teacher Timetable card click (UC-07). Show: Student Name, Status (Present/Absent/Late), Note.","Given Teacher clicks a session card on Timetable; When Session Detail opens; Then if attendance already submitted: show read-only records. If not submitted: show attendance form (UC-08).","Academic Operations","UC-08,frontend","Frontend","v1.0"
